,trans,ABG,infexp,infforecastMA,infforecast12,infforecast2,infforecastMAspread,infforecast1spread,infforecast2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high,index,country,date,trans,ABG,infexp,infrate,infforecastMA,infforecast2,infforecast12,infforecastMAspread,infforecast2spread,infforecast1spread
12,10.5,-0.0104321907600596,1.69,0.42,0.652276992,0.6800568220000001,0.42778499299999995,0.379230057,0.35448426899999996,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.31000000000000005,0.69,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12,czechia,25,10.5,-0.0104321907600596,1.69,-0.4,0.42,0.6800568220000001,0.652276992,0.42778499299999995,0.35448426899999996,0.379230057
13,10.5,-0.0212765957446809,1.64,0.18,-1.018042774,-1.185838929,0.538206899,0.432958141,0.402450536,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3600000000000001,0.6399999999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13,czechia,26,10.5,-0.0212765957446809,1.64,-0.4,0.18,-1.185838929,-1.018042774,0.538206899,0.402450536,0.432958141
14,10.5,-0.0126050420168067,1.61,-0.02,0.101122151,0.038736317,0.530722778,0.49221322,0.416140051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3899999999999999,0.6100000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14,czechia,27,10.5,-0.0126050420168067,1.61,-0.4,-0.02,0.038736317,0.101122151,0.530722778,0.416140051,0.49221322
15,10.5,-0.0112866817155756,1.73,-0.14,-0.369594199,-0.45572117799999995,0.467618078,0.502982453,0.41409508100000003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.27,0.73,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,15,czechia,28,10.5,-0.0112866817155756,1.73,-0.1,-0.14,-0.45572117799999995,-0.369594199,0.467618078,0.41409508100000003,0.502982453
16,10.5,0.00970873786407767,1.94,-0.26,0.186111637,0.147299376,0.39200340100000003,0.49518373,0.412997541,0.0,0.0,1.0,0.9902912621359223,0.00970873786407767,0.0,0.0,0.06000000000000005,0.94,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,16,czechia,29,10.5,0.00970873786407767,1.94,0.0,-0.26,0.147299376,0.186111637,0.39200340100000003,0.412997541,0.49518373
17,10.5,-0.0240480961923848,1.97,-0.12,0.12057716199999999,0.029269951000000002,0.287518115,0.48713856299999997,0.406256458,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.030000000000000027,0.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,17,czechia,30,10.5,-0.0240480961923848,1.97,0.3,-0.12,0.029269951000000002,0.12057716199999999,0.287518115,0.406256458,0.48713856299999997
18,10.5,-0.0132325141776938,2.02,-0.06,0.346822254,0.49912701600000003,0.263944439,0.346781073,0.40304760700000003,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18,czechia,31,10.5,-0.0132325141776938,2.02,-0.1,-0.06,0.49912701600000003,0.346822254,0.263944439,0.40304760700000003,0.346781073
19,10.5,0.00623700623700624,2.06,0.0,0.002209312,-0.250485242,0.225092574,0.314847785,0.409275138,0.0,0.0,1.0,0.9937629937629938,0.00623700623700624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,19,czechia,32,10.5,0.00623700623700624,2.06,-0.1,0.0,-0.250485242,0.002209312,0.225092574,0.409275138,0.314847785
20,10.5,0.00623700623700624,2.08,0.02,-0.001994998,0.034030903,0.154919334,0.31349863699999997,0.403984595,0.0,0.0,1.0,0.9937629937629938,0.00623700623700624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,20,czechia,33,10.5,0.00623700623700624,2.08,0.0,0.02,0.034030903,-0.001994998,0.154919334,0.403984595,0.31349863699999997
21,10.5,-0.0232018561484919,2.27,0.1,0.064237204,0.061734717,0.213697606,0.31362862399999997,0.39770521799999997,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21,czechia,34,10.5,-0.0232018561484919,2.27,0.4,0.1,0.061734717,0.064237204,0.213697606,0.39770521799999997,0.31362862399999997
