,trans,BN,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,BN_low,BN_medium,BN_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high
18,10.5,-13.232513999999998,2.02,-0.06,0.346822254,0.49912701600000003,0.263944439,0.346781073,0.40304760700000003,1.0,0.0,0.0,1.0,0.0,0.0,0.8115942028985506,0.1884057971014494,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
19,10.5,8.316008,2.06,0.0,0.002209312,-0.250485242,0.225092574,0.314847785,0.409275138,1.0,0.0,0.0,0.20672224000346834,0.7932777599965316,0.0,0.7536231884057969,0.24637681159420305,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
20,10.5,-9.280742,2.27,0.1,0.064237204,0.061734717,0.213697606,0.31362862399999997,0.39770521799999997,1.0,0.0,0.0,1.0,0.0,0.0,0.4492753623188405,0.5507246376811594,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21,10.5,38.548753,2.47,0.24,0.28216785699999997,0.597567281,0.423083916,0.310761086,0.39660622,1.0,0.0,0.0,0.0,0.0,1.0,0.15942028985507226,0.8405797101449277,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
22,10.5,15.831135,2.76,0.46,0.682176595,1.2174093559999999,0.524086507,0.35228230899999996,0.39695176200000004,1.0,0.0,0.0,0.0,0.6025652294325251,0.39743477056747484,0.0,0.7591973244147161,0.24080267558528387,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,11.0,10.526316000000001,2.93,0.94,0.7216780559999999,0.973369343,0.8869423129999999,0.352243617,0.392832995,1.0,0.0,0.0,0.011162724649208706,0.9888372753507914,0.0,0.0,0.531772575250836,0.46822742474916396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,11.0,30.150754,2.99,1.4,2.246568781,2.7888282689999997,0.956382071,0.45572943299999996,0.444933535,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45150501672240784,0.5484949832775922,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5478611631285548,0.45213883687144524
25,11.0,24.324323999999997,3.04,1.82,2.137524263,2.204094715,0.888631907,0.455155506,0.445240001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3846153846153847,0.6153846153846153,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
26,11.0,16.216216000000003,3.01,2.08,2.3943101,2.591947295,0.701427117,0.460104215,0.442003916,1.0,0.0,0.0,0.0,0.5730122561668165,0.42698774383318344,0.0,0.4247491638795991,0.575250836120401,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.05418778009197642,0.9458122199080236
27,11.0,19.80198,2.98,2.42,2.166002266,2.245824688,0.601387285,0.45203743799999996,0.43884852799999996,1.0,0.0,0.0,0.0,0.2978234319216852,0.7021765680783149,0.0,0.46488294314381284,0.5351170568561872,0.0,0.06881968746645498,0.931180312533545,0.0,0.0,1.0,0.0,0.0,1.0
28,11.0,10.204082,2.92,2.54,2.596856353,2.819444323,0.252982213,0.468139274,0.439223869,1.0,0.0,0.0,0.039672744461228024,0.960327255538772,0.0,0.0,0.545150501672241,0.45484949832775895,0.0,0.0,1.0,0.0,0.30972754274831504,0.690272457251685,0.0,0.7710605363298233,0.22893946367017678
29,11.0,6.7567569999999995,2.88,2.72,2.79958074,2.919874815,0.356370594,0.461106287,0.434074419,1.0,0.0,0.0,0.3446787464612311,0.6553212535387689,0.0,0.0,0.5986622073578598,0.4013377926421402,0.0,0.551029173860513,0.4489708261394871,0.0,0.8255949609292581,0.17440503907074192,0.09186170217508287,0.9081382978249172,0.0
30,11.0,13.186813,2.85,2.9,3.13143261,3.2603421139999997,0.417931414,0.45910528,0.43102352899999996,1.0,0.0,0.0,0.0,0.8055032538271966,0.1944967461728034,0.0,0.6387959866220736,0.36120401337792646,0.11963685505583899,0.880363144944161,0.0,0.6130023379386965,0.38699766206130354,0.0,0.9520178978442722,0.047982102155727825,0.0
31,11.0,33.687943,2.82,3.04,3.3285725939999997,3.418663092,0.386867764,0.462739051,0.426518444,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.678929765886288,0.32107023411371205,0.5686697638627765,0.4313302361372236,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32,11.0,12.5,2.75,3.2,2.876427959,2.890393876,0.306050105,0.47435285899999996,0.426465085,1.0,0.0,0.0,0.0,0.858212596089061,0.14178740391093905,0.0,0.7725752508361206,0.2274247491638795,1.0,0.0,0.0,0.26652724148543583,0.7334727585145642,0.0,0.32920368146902346,0.6707963185309765,0.0
33,11.0,17.58794,2.68,3.2,3.384592338,3.620583017,0.258843582,0.484352519,0.431041103,1.0,0.0,0.0,0.0,0.46773954029682957,0.5322604597031704,0.0,0.866220735785953,0.13377926421404696,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34,11.0,18.617021,2.67,3.12,2.826469113,2.76076142,0.280475786,0.47144552700000003,0.439124258,1.0,0.0,0.0,0.0,0.38876290088525517,0.6112370991147448,0.0,0.879598662207358,0.12040133779264194,1.0,0.0,0.0,0.3318922421338402,0.6681077578661597,0.0,0.20668732903387038,0.7933126709661296,0.0
35,11.0,-9.661836,2.53,2.78,2.7462614419999998,2.8115849639999997,0.643169236,0.467953202,0.434539113,1.0,0.0,0.0,1.0,0.0,0.0,0.07246376811594239,0.9275362318840575,0.0,0.3887001834148673,0.6112998165851328,0.0,0.4621433106466916,0.5378566893533084,0.0,0.648008327848729,0.3519916721512711,0.0
36,11.0,2.320186,2.3,2.52,2.057512638,1.540058599,0.737563557,0.408487547,0.458392109,1.0,0.0,0.0,0.7372094139495461,0.2627905860504539,0.0,0.4057971014492756,0.5942028985507244,0.0,0.29827937933218707,0.701720620667813,0.0,0.0,0.4063775902573601,0.5936224097426398,0.0,0.0,1.0
37,11.0,8.247423,2.1,2.12,1.944193651,1.7714674019999999,0.824014563,0.412730469,0.45437734700000004,1.0,0.0,0.0,0.21279037591962666,0.7872096240803733,0.0,0.6956521739130432,0.30434782608695676,0.0,0.02427141569826845,0.9757285843017315,0.0,0.0,0.6224985536505178,0.37750144634948224,0.0,0.2769608780694775,0.7230391219305224
38,11.0,-7.853403,2.05,1.86,1.7076264209999998,1.505266631,0.637704216,0.42036730200000005,0.45137543399999996,1.0,0.0,0.0,1.0,0.0,0.0,0.7681159420289857,0.23188405797101433,0.0,0.0,0.7020562272713599,0.2979437727286402,0.0,0.18553708299605104,0.8144629170039489,0.0,0.0,1.0
39,11.0,-13.071895,2.01,1.56,1.7519101419999998,1.6627476719999998,0.527888877,0.416609534,0.447229129,1.0,0.0,0.0,1.0,0.0,0.0,0.8260869565217394,0.17391304347826067,0.0,0.0,0.1475478654572984,0.8524521345427016,0.0,0.38049939586836257,0.6195006041316374,0.0,0.22354715853045423,0.7764528414695457
40,11.0,23.622047,2.1,1.58,1.455198877,1.2960397259999998,0.178885438,0.418811985,0.44561090600000003,1.0,0.0,0.0,0.0,0.004653065364481045,0.9953469346355189,0.6956521739130432,0.30434782608695676,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41,11.0,33.254157,2.17,1.58,1.8808891719999998,1.916557109,0.178885438,0.429424016,0.446921657,1.0,0.0,0.0,0.0,0.0,1.0,0.5942028985507247,0.4057971014492753,0.0,0.0,0.0,1.0,0.0,0.326747416939997,0.673252583060003,0.0,0.432914276964654,0.567085723035346
42,11.0,-5.540166,2.24,1.62,1.8065584319999999,1.70915089,0.178885438,0.426668415,0.443721721,1.0,0.0,0.0,1.0,0.0,0.0,0.4927536231884055,0.5072463768115946,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
43,11.0,8.421053,2.31,1.74,1.794414362,1.739034004,0.29268868600000003,0.426718352,0.439722981,1.0,0.0,0.0,0.19742826410038683,0.8025717358996132,0.0,0.39130434782608686,0.6086956521739131,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
44,11.0,36.511156,2.57,2.0,2.215279957,2.291785596,0.45350487,0.423717954,0.44017840799999997,1.0,0.0,0.0,0.0,0.0,1.0,0.014492753623188737,0.9855072463768112,0.0,0.0,0.0,1.0,0.0,0.1628392432953169,0.8371607567046832,0.0,0.36795081507042054,0.6320491849295794
45,11.0,18.604651,2.87,2.12,2.594264372,2.65459827,0.38815804299999995,0.424250645,0.43819565299999996,1.0,0.0,0.0,0.0,0.3897122343483366,0.6102877656516634,0.0,0.6120401337792641,0.3879598662207358,0.0,0.0,1.0,0.0,0.3500643281284813,0.6499356718715186,0.0,0.5084348086857907,0.4915651913142093
46,11.0,38.92944,2.79,2.22,2.265806071,2.3740252969999998,0.366969572,0.37926778899999997,0.435730551,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7190635451505017,0.28093645484949825,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.04533959795717871,0.9546604020428213
47,11.0,9.98004,2.64,2.46,2.116403622,2.19402151,0.40824829,0.37456459299999995,0.43264041200000003,1.0,0.0,0.0,0.05949511534302315,0.9405048846569769,0.0,0.0,0.9197324414715718,0.08026755852842815,0.0,0.5590918457980555,0.44090815420194457,0.0,0.0,1.0,0.0,0.0,1.0
48,11.0,14.084507,2.68,2.58,3.0069753219999997,3.00261445,0.299443929,0.484865696,0.438487075,1.0,0.0,0.0,0.0,0.7366098865024343,0.26339011349756575,0.0,0.866220735785953,0.13377926421404696,0.0,0.6660476626326925,0.33395233736730734,0.6743626630991845,0.32563733690081553,0.0,0.7357444914425352,0.2642555085574648,0.0
49,11.0,13.833992,2.71,2.62,2.6786528169999997,2.768130231,0.27141604,0.320618455,0.435712194,1.0,0.0,0.0,0.0,0.7558356158883529,0.2441643841116471,0.0,0.8260869565217392,0.17391304347826073,0.0,0.6684057434483245,0.33159425655167557,0.0,0.9022290123629961,0.09777098763700387,0.13341428539408798,0.866585714605912,0.0
50,11.0,19.108279999999997,2.7,2.7,2.7032665739999997,2.802098736,0.28106938600000003,0.318899592,0.432244012,1.0,0.0,0.0,0.0,0.3510613157809823,0.6489386842190177,0.0,0.8394648829431437,0.16053511705685633,2.194617922925429e-12,0.9999999999956108,2.1946179229254284e-12,0.010243268044066738,0.9897567319559333,0.0,0.23620624731754494,0.7637937526824551,0.0
51,11.0,46.10951,2.7,2.88,2.703493495,2.797201747,0.301109061,0.317760876,0.42884286899999996,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8394648829431437,0.16053511705685633,0.5977900479055982,0.40220995209440175,0.0,0.010994100482023619,0.9890058995179764,0.0,0.22666051840073795,0.773339481599262,0.0
52,11.0,49.450549,2.79,2.86,2.978575897,3.130252521,0.121106014,0.327918621,0.427130183,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7190635451505017,0.28093645484949825,0.5780059774735865,0.42199402252641355,0.0,0.5750691937680465,0.4249308062319534,0.0,0.7966014450446832,0.20339855495531678,0.0
53,11.0,56.122449,2.88,2.88,2.661985761,2.7508881119999997,0.121106014,0.296489744,0.42587252700000006,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5986622073578598,0.4013377926421402,5.254733570127743e-12,0.9999999999894906,5.254733570127744e-12,0.0,0.2646820221882619,0.7353179778117381,0.0,0.6968297323391321,0.3031702676608678
54,11.0,16.759777,3.01,2.94,2.803624801,2.914458928,0.14719601400000001,0.300445729,0.42304934299999997,1.0,0.0,0.0,0.0,0.5312967633191258,0.4687032366808742,0.0,0.4247491638795991,0.575250836120401,0.0,0.5244436442416174,0.4755563557583827,0.0,0.3131032360257003,0.6868967639742997,0.0,0.7741609257149947,0.22583907428500527
55,11.0,30.379747000000002,3.15,2.92,2.952922009,3.112209941,0.167332005,0.305339824,0.420486906,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2374581939799334,0.7625418060200667,0.0,0.0,1.0,0.0,0.3545617849049388,0.6454382150950612,0.0,0.9101278578220464,0.08987214217795353
56,11.0,30.444965,3.03,2.56,2.775553475,2.644910414,0.6804410329999999,0.25143023,0.42041873700000004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3979933110367897,0.6020066889632103,0.0,0.30927152066680264,0.6907284793331973,0.0,0.0,1.0,0.0,0.08403324564480583,0.9159667543551941
57,11.0,-10.230179000000001,2.91,2.3,1.899645122,1.1397477440000001,0.775671752,0.429831019,0.44683400100000004,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5585284280936454,0.4414715719063546,0.0,0.21358487217412517,0.7864151278258749,0.0,0.0,1.0,0.0,0.0,1.0
58,11.0,41.884817000000005,2.9,2.06,2.174401115,1.605731521,0.787400787,0.43037553,0.445718226,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5719063545150505,0.4280936454849496,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
59,12.5,14.466546000000001,2.63,1.7,1.965376674,1.760360411,0.773735528,0.433897046,0.442757542,0.0,0.0,1.0,0.0,0.7072903709889241,0.29270962901107583,0.0,0.9331103678929769,0.06688963210702317,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
60,12.5,51.912568,2.54,1.58,1.841118525,1.5838196919999998,0.233809039,0.427497145,0.440583677,0.0,0.0,1.0,0.0,0.0,1.0,0.057971014492753666,0.9420289855072463,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
61,12.5,18.556701,2.64,1.78,2.09474593,1.98322045,0.427395211,0.427644621,0.439186919,0.0,0.0,1.0,0.0,0.3933921486211538,0.6066078513788462,0.0,0.9197324414715718,0.08026755852842815,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
62,12.5,45.673077,2.75,1.92,2.607060795,2.5881019430000003,0.48339080100000004,0.432181553,0.440287139,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7725752508361206,0.2274247491638795,0.0,0.0,1.0,0.0,0.6692612074537114,0.3307387925462886,0.0,0.6322898339303986,0.36771016606960144
63,12.5,72.56235799999999,2.89,2.16,2.234197226,2.381883041,0.530722778,0.433575681,0.437943586,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5852842809364548,0.4147157190635452,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64,12.5,58.947368,2.91,2.32,2.6319473469999997,2.5239514069999998,0.402077936,0.39302940799999997,0.43532604700000005,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5585284280936454,0.4414715719063546,0.0,0.0,1.0,0.0,0.2925398269434317,0.7074601730565683,0.0,0.11319665877929838,0.8868033412207016
65,12.5,17.948718,3.15,2.42,2.138016609,2.281580761,0.225092574,0.41985320600000003,0.433293827,0.0,0.0,1.0,0.0,0.440051696469542,0.559948303530458,0.0,0.2374581939799334,0.7625418060200667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
