"arma11_prediction" "arma11_spread" "s_arma11_prediction" "s_arma11_spread"
"1" 5.07725568916372 0.398852838852161 5.07725568916372 0.398852838852161
"2" 4.76466394207109 0.381980777293 4.76466394207109 0.381980777293
"3" 5.51200896631055 0.413163779359135 5.47971260160416 0.405706752046504
"4" 5.1148290656329 0.404650184899024 5.14943907148218 0.392226208230998
"5" 5.59658580417152 0.44528376754454 5.55111369341319 0.41644622715488
"6" 4.39698495397685 0.452996745784808 4.34565807638239 0.452117926566415
"7" 5.19132523671183 0.47997084533845 5.1935305641006 0.465475517708097
"8" 5.15235829627168 0.429571402136578 5.03564077073169 0.453109707567222
"9" 4.98822295865831 0.421866814081718 4.98538189144385 0.441840173252349
"10" 4.82945079951875 0.408074808627897 4.74766330697992 0.433640792272019
"11" 5.01437245265366 0.320649183622877 4.86082160457559 0.423710409980869
"12" 5.0073366822089 0.313225717604352 4.80975006561119 0.414682891896743
"13" 4.93948457657863 0.316407138172068 4.75743743285934 0.406548361648921
"14" 4.9199029243788 0.316080616534695 4.79686124141277 0.398384496764895
"15" 5.61247046238273 0.51905561355645 6.17838061961863 0.510578071572153
"16" 6.11955463110773 0.560976476294378 6.21292647029269 0.516069385519793
"17" 7.40311758309314 0.61177672633022 7.26758585364454 0.549750470726586
"18" 7.92836813844267 0.546356947444639 7.71095736294334 0.551274347339175
"19" 8.17659827556603 0.542362860260448 8.03602168712074 0.5475997626795
"20" 8.52584595036603 0.541376811790398 8.42723590183757 0.544115103559617
"21" 12.9581859720011 1.12906040876941 9.30354980424 0.902351273464347
"22" 12.0622602953962 1.13620475937474 9.22813510169838 0.890706654782964
"23" 12.9968767951658 1.15507015666928 7.93777268396384 0.891967607926983
"24" 13.2764227268461 1.15723543316076 7.80208939589575 0.880985332111745
"25" 13.3346973103232 1.15741720455804 7.31157203507853 0.872002407048708
"26" 13.1571031217492 1.15507625476068 6.87699521400743 0.863095223253707
"27" 9.45848938221948 1.2991363973861 2.92589784978413 0.98268463143504
"28" 9.46328450370455 1.28141977929744 3.27875398330376 0.971812207466277
"29" 8.35728093135527 1.30225180370347 2.59473984027885 0.966583449823396
"30" 8.27735534104124 1.2960583277043 2.92872408578818 0.956327530198719
"31" 7.834768210504 1.29817636239084 2.48789445728682 0.948973489350305
"32" 7.30578447049235 1.29799842321648 3.2939630423109 0.942018748422286
"33" 3.03027464292495 1.32964219688073 5.23379594120841 0.954582187215286
"34" 3.47394894520095 1.32880164745552 5.20012260843968 0.945215914692138
"35" 2.67266449129624 1.33906313903404 6.95267526642802 0.956552083959804
"36" 3.00770347543348 1.3377842443509 7.43636836253857 0.949414367687241
"37" 2.54639200463591 1.34312012048774 7.1644491765823 0.940771509213264
"38" 3.39900804666075 1.3440950209835 7.22606625535537 0.932283906776384
"39" 5.39080497527794 1.12034568291296 7.20501029133599 0.923921813260637
"40" 5.26063540800972 1.10039314617065 7.61893555951849 0.917341564320886
"41" 6.87733807077171 1.1147381904541 7.78265933108995 0.909831773698934
"42" 7.25775789241228 1.11519736759533 7.09546728507433 0.904209434733029
"43" 6.87248901546425 1.08797133995151 7.28328264792649 0.897037823539648
"44" 7.03846314683384 1.07891214344076 5.69177676203024 0.904376023644842
"45" 7.08322846829045 0.670601887354639 4.88960306638288 0.901301202715697
"46" 7.60140912309749 0.679056925441362 4.74321312138683 0.894462200789122
"47" 7.74430271321567 0.666159861417052 3.59789338445067 0.896697792789844
"48" 6.93408708858344 0.67496700417295 2.77996267672811 0.895245115636319
"49" 7.27229450095164 0.681125177744303 3.57345069392735 0.890237598516116
"50" 5.59606174668429 0.771338829688757 3.0181504490106 0.886468084025415
"51" 5.31394950203603 0.557994442315607 3.43082305371787 0.880173766227395
"52" 4.7800003891794 0.57505960073214 2.34792018942562 0.882266413856177
"53" 2.70989829535341 0.646634783447862 1.19378711704878 0.885378497380603
"54" 2.65738071348389 0.552031198558684 1.14656573157402 0.87948643481919
"55" 3.77279328072877 0.576523091087897 1.10657625235825 0.873681019190882
"56" 2.88272220740984 0.609762553178441 2.71220829942991 0.87687442502932
"57" 3.4525815742333 0.616736530644885 2.50795371334345 0.87162942583314
"58" 2.30157497834909 0.672117970744675 3.0970999313535 0.866643783101131
"59" 1.0277881893578 0.706744929543667 3.37783512935511 0.860999673320665
"60" 1.09294913486431 0.669925035564228 4.99403375976711 0.866394269988021
"61" 0.995282640225085 0.662235018176912 4.2722244763656 0.863754159714179
"62" 2.81917878464397 0.703841950312867 5.07725568916372 0.398852838852161
"63" 2.4200352023111 0.638130767798889 4.76466394207109 0.381980777293
"64" 2.98235955278742 0.641817573267895 5.47971260160416 0.405706752046504
"65" 3.09741885625568 0.597604345640424 5.14943907148218 0.392226208230998
"66" 4.49961703594048 0.653597202079911 5.55111369341319 0.41644622715488
"67" 3.89051015285423 0.641541341397813 4.34565807638239 0.452117926566415
