"arma11_prediction" "arma11_spread" "s_arma11_prediction" "s_arma11_spread"
"1" 17.3957877898093 1.16418824048424 17.3957877898093 1.16418824048424
"2" 15.523203528874 1.14113802500551 15.523203528874 1.14113802500551
"3" 8.6692214837312 1.51415371184912 7.7854946094438 1.5451407504919
"4" 10.3885380357269 1.20091912540645 9.77003953251382 1.51242536367921
"5" 8.79285929134839 1.28657738703415 7.72857124766618 1.50487524273227
"6" 8.35955402222365 1.28025393065075 8.29942569479091 1.46033533286741
"7" 8.28995873666663 1.28592857788127 7.66760978854783 1.42591416637873
"8" 8.01256929221817 1.28548039721304 7.95211704204062 1.38622553184903
"9" 7.78913738788394 1.28984982802384 7.35077521094055 1.3550905305495
"10" 7.89949391719038 1.28132814219135 7.81468471535136 1.32278787193348
"11" 7.66673142254648 1.24219697371398 7.41712700972615 1.2937179677173
"12" 7.11188777217959 1.18957536879251 7.03513843764543 1.26422994974858
"13" 7.51796071856841 1.13265633113002 7.15416222050938 1.23689526428507
"14" 7.12812829688866 1.10846060525447 7.22517755934646 1.21106258089503
"15" 7.94515591629978 0.829274408184027 8.21805306876328 1.19003920407725
"16" 7.3111245569278 0.301146174152192 6.64627964243056 1.17769080377551
"17" 7.21085648836043 0.300430666975217 7.66340080119692 1.15917091596594
"18" 6.95614970743245 0.256207871001634 6.21475060065616 1.14938044703972
"19" 6.66291117612785 0.269900358880721 6.94452260128723 1.13177715565947
"20" 6.80573865791347 0.265360133181128 6.4873150797088 1.1157425359874
"21" 6.63587136830546 0.262353760235918 6.69005515286841 1.09759441106721
"22" 6.31277611939293 0.280286308227477 5.98142460375645 1.08510325842294
"23" 5.98704140627927 0.294241629266228 6.03159070687783 1.06831699449562
"24" 6.02769023151507 0.26920078696825 5.97516391816941 1.05310312240873
"25" 6.10896670431229 0.266517281508068 6.19544022023439 1.03813560844726
"26" 6.2117391658279 0.262270490069706 6.17695220508123 1.02398654034802
"27" 5.0065198755734 0.302672222102882 4.79430590422741 1.00179902046261
"28" 5.44583896355654 0.292562143853919 6.02920398624598 0.992329046753752
"29" 5.38301154176004 0.288365166432867 4.82091844752324 0.985492640771862
"30" 5.27483891159683 0.278718370183659 5.80345371268926 0.975220390061256
"31" 4.83654471854878 0.286711365498779 4.31310989270754 0.989138060113379
"32" 4.90241032750091 0.286112906577768 5.3733573797917 0.981697449694912
"33" 4.99929007882557 0.284938763601463 4.72668494040594 0.973361923008267
"34" 5.40248313379565 0.28447967772141 5.88493316773412 0.967154960521768
"35" 5.42185416684151 0.265527737655317 5.17893360024833 0.959287939167599
