,protoform,DoT,DoS,group
40,"Among all e0_medium records, most are gini_medium",0.0,0.4662004662004662,e0_m
41,"Among all e0_medium records, most are gini_high",0.0,0.24475524475524477,e0_m
42,"Among all e0_medium records, most are year_low",0.16430917050571484,0.5244755244755245,e0_m
43,"Among all e0_medium records, most are year_medium",1.0,0.4662004662004662,e0_m
44,"Among all e0_medium records, most are year_high",0.0,0.24475524475524477,e0_m
45,"Among all e0_high records, most are gini_low",0.20630561477173742,0.5920745920745921,e0_m
46,"Among all e0_high records, most are gini_medium",0.0,0.5454545454545454,e0_m
47,"Among all e0_high records, most are gini_high",0.0,0.2727272727272727,e0_m
48,"Among all e0_high records, most are year_low",0.0,0.5920745920745921,e0_m
49,"Among all e0_high records, most are year_medium",1.0,0.5454545454545454,e0_m
50,"Among all e0_high records, most are year_high",0.0,0.2727272727272727,e0_m
51,"Among all year_low records, most are gini_low",0.18320180383271828,0.31934731934731936,e0_m
52,"Among all year_low records, most are gini_medium",0.0,0.2703962703962704,e0_m
53,"Among all year_low records, most are gini_high",0.0,0.15384615384615385,e0_m
54,"Among all year_low records, most are e0_low",0.0,0.10256410256410256,e0_m
55,"Among all year_low records, most are e0_medium",0.9699152621261625,0.5034965034965035,e0_m
56,"Among all year_low records, most are e0_high",0.8781572318048355,0.5058275058275058,e0_m
57,"Among all year_medium records, most are gini_low",0.0,0.5757575757575758,e0_m
58,"Among all year_medium records, most are gini_medium",0.0,0.5268065268065268,e0_m
59,"Among all year_medium records, most are gini_high",0.0,0.2703962703962704,e0_m
60,"Among all year_medium records, most are e0_low",0.0,0.1888111888111888,e0_m
61,"Among all year_medium records, most are e0_medium",0.0,0.8461538461538461,e0_m
62,"Among all year_medium records, most are e0_high",1.0,0.9627039627039627,e0_m
63,"Among all year_high records, most are gini_low",0.0,0.30303030303030304,e0_m
64,"Among all year_high records, most are gini_medium",0.0,0.31002331002331,e0_m
65,"Among all year_high records, most are gini_high",0.0,0.1445221445221445,e0_m
66,"Among all year_high records, most are e0_low",0.0,0.1048951048951049,e0_m
67,"Among all year_high records, most are e0_medium",0.0,0.4219114219114219,e0_m
68,"Among all year_high records, most are e0_high",1.0,0.5384615384615384,e0_m
69,,0.0,0.0,e0_m
70,,0.0,0.0,e0_m
71,,0.0,0.0,e0_m
72,,0.0,0.0,e0_m
73,,0.0,0.0,e0_m
74,,0.0,0.0,e0_m
75,,0.0,0.0,e0_m
76,,0.0,0.0,e0_m
77,,0.0,0.0,e0_m
78,,0.0,0.0,e0_m
79,,0.0,0.0,e0_m
80,,0.0,0.0,e0_m
81,,0.0,0.0,e0_m
82,,0.0,0.0,e0_m
83,,0.0,0.0,e0_m
84,,0.0,0.0,e0_m
85,,0.0,0.0,e0_m
86,,0.0,0.0,e0_m
87,,0.0,0.0,e0_m
88,,0.0,0.0,e0_m
89,,0.0,0.0,e0_m
