,protoform,DoT,DoS,group
34,"Among all e0_low records, most are gini_medium",0.0,0.20512820512820512,e0_m
35,"Among all e0_low records, most are gini_high",0.14831988320021752,0.2867132867132867,e0_m
36,"Among all e0_low records, most are year_low",0.0,0.32634032634032634,e0_m
37,"Among all e0_low records, most are year_medium",0.0,0.21678321678321677,e0_m
38,"Among all e0_low records, most are year_high",0.0,0.1958041958041958,e0_m
39,"Among all e0_medium records, most are gini_low",0.2821656924902228,0.32867132867132864,e0_m
40,"Among all e0_medium records, most are gini_medium",0.0,0.27505827505827507,e0_m
41,"Among all e0_medium records, most are gini_high",0.0,0.20512820512820512,e0_m
42,"Among all e0_medium records, most are year_low",0.7915992398765905,0.3543123543123543,e0_m
43,"Among all e0_medium records, most are year_medium",0.0,0.25874125874125875,e0_m
44,"Among all e0_medium records, most are year_high",0.0,0.17249417249417248,e0_m
45,"Among all e0_high records, most are gini_low",0.0,0.2937062937062937,e0_m
46,"Among all e0_high records, most are gini_medium",0.0,0.3076923076923077,e0_m
47,"Among all e0_high records, most are gini_high",0.0,0.21678321678321677,e0_m
48,"Among all e0_high records, most are year_low",0.0,0.19114219114219114,e0_m
49,"Among all e0_high records, most are year_medium",0.0,0.3333333333333333,e0_m
50,"Among all e0_high records, most are year_high",0.4972052430492969,0.34265734265734266,e0_m
51,"Among all year_low records, most are gini_low",0.0,0.3006993006993007,e0_m
52,"Among all year_low records, most are gini_medium",0.0,0.25874125874125875,e0_m
53,"Among all year_low records, most are gini_high",0.0,0.24708624708624707,e0_m
54,"Among all year_low records, most are e0_low",0.0,0.32634032634032634,e0_m
55,"Among all year_low records, most are e0_medium",0.0,0.3543123543123543,e0_m
56,"Among all year_low records, most are e0_high",0.0,0.19114219114219114,e0_m
57,"Among all year_medium records, most are gini_low",0.0,0.28205128205128205,e0_m
58,"Among all year_medium records, most are gini_medium",0.0,0.2703962703962704,e0_m
59,"Among all year_medium records, most are gini_high",0.0,0.2703962703962704,e0_m
60,"Among all year_medium records, most are e0_low",0.0,0.21678321678321677,e0_m
61,"Among all year_medium records, most are e0_medium",0.0,0.25874125874125875,e0_m
62,"Among all year_medium records, most are e0_high",0.01985911779288419,0.3333333333333333,e0_m
63,"Among all year_high records, most are gini_low",0.0,0.25874125874125875,e0_m
64,"Among all year_high records, most are gini_medium",0.0,0.2773892773892774,e0_m
65,"Among all year_high records, most are gini_high",0.0,0.28205128205128205,e0_m
66,"Among all year_high records, most are e0_low",0.0,0.1958041958041958,e0_m
67,"Among all year_high records, most are e0_medium",0.0,0.17249417249417248,e0_m
68,"Among all year_high records, most are e0_high",0.5396146147529147,0.34265734265734266,e0_m
69,,0.0,0.0,e0_m
70,,0.0,0.0,e0_m
71,,0.0,0.0,e0_m
72,,0.0,0.0,e0_m
73,,0.0,0.0,e0_m
74,,0.0,0.0,e0_m
75,,0.0,0.0,e0_m
76,,0.0,0.0,e0_m
77,,0.0,0.0,e0_m
78,,0.0,0.0,e0_m
79,,0.0,0.0,e0_m
80,,0.0,0.0,e0_m
81,,0.0,0.0,e0_m
82,,0.0,0.0,e0_m
83,,0.0,0.0,e0_m
84,,0.0,0.0,e0_m
85,,0.0,0.0,e0_m
86,,0.0,0.0,e0_m
87,,0.0,0.0,e0_m
88,,0.0,0.0,e0_m
89,,0.0,0.0,e0_m
