,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
0,-1.0,20.0,2.27,3.04,2.44300664,2.44,0.63,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.14444444444444435,0.8555555555555557,0.0,1.0,0.0,0.0,0.3460132800000002,0.6539867199999998,0.0,0.33999999999999986,0.6600000000000001,0.0
1,0.0,20.0,2.14,2.74,2.328191399,2.33,0.47,0.48,0.48,1.0,0.0,0.0,0.0,0.5,0.5,0.28888888888888864,0.7111111111111112,0.0,1.0,0.0,0.0,0.3920654145833332,0.6079345854166668,0.0,0.39583333333333326,0.6041666666666667,0.0
2,0.0,20.0,1.76,2.47,1.894044417,1.87,0.22,0.49,0.48,1.0,0.0,0.0,0.0,0.5,0.5,0.7111111111111111,0.288888888888889,0.0,1.0,0.0,0.0,0.27356003469387735,0.7264399653061225,0.0,0.22916666666666688,0.7708333333333331,0.0
3,0.0,20.0,1.51,2.36,1.576752922,1.67,0.35,0.42,0.47,1.0,0.0,0.0,0.0,0.5,0.5,0.9888888888888888,0.011111111111111122,0.0,1.0,0.0,0.0,0.15893552857142873,0.8410644714285713,0.0,0.34042553191489344,0.6595744680851064,0.0
4,0.0,-10.0,1.87,2.17,2.096716979,2.15,0.43,0.43,0.46,1.0,0.0,0.0,1.0,0.0,0.0,0.5888888888888887,0.41111111111111126,0.0,0.6976744186046508,0.30232558139534915,0.0,0.5272487883720928,0.4727512116279072,0.0,0.6086956521739126,0.3913043478260873,0.0
5,0.0,10.0,2.13,2.01,2.260896415,2.27,0.34,0.43,0.44,1.0,0.0,0.0,5.2523291434441316e-11,0.999999999921215,2.6261645720198095e-11,0.30000000000000004,0.7,0.0,0.0,0.6470588235294112,0.3529411764705887,0.3044102674418606,0.6955897325581394,0.0,0.3181818181818185,0.6818181818181815,0.0
6,0.0,-10.0,2.26,1.95,2.403544276,2.38,0.26,0.41,0.43,1.0,0.0,0.0,1.0,0.0,0.0,0.1555555555555557,0.8444444444444442,0.0,0.0,0.0,1.0,0.3501079902439027,0.6498920097560973,0.0,0.2790697674418608,0.7209302325581393,0.0
7,0.0,10.0,2.16,1.95,2.249106659,2.21,0.26,0.42,0.42,1.0,0.0,0.0,5.2523291434441316e-11,0.999999999921215,2.6261645720198095e-11,0.26666666666666644,0.7333333333333336,0.0,0.0,0.1923076923076916,0.8076923076923084,0.21215871190476202,0.787841288095238,0.0,0.11904761904761864,0.8809523809523814,0.0
8,0.0,10.0,2.26,1.95,2.37128639,2.38,0.26,0.18,0.41,1.0,0.0,0.0,5.2523291434441316e-11,0.999999999921215,2.6261645720198095e-11,0.1555555555555557,0.8444444444444442,0.0,0.0,0.0,1.0,0.6182577222222221,0.3817422777777779,0.0,0.2926829268292686,0.7073170731707313,0.0
9,0.0,10.0,2.0,2.03,1.930808687,2.01,0.27,0.2,0.41,1.0,0.0,0.0,5.2523291434441316e-11,0.999999999921215,2.6261645720198095e-11,0.44444444444444436,0.5555555555555556,0.0,0.11111111111111038,0.8888888888888896,0.0,0.0,0.6540434350000003,0.34595656499999966,0.02439024390243851,0.9756097560975615,0.0
10,0.0,0.0,2.36,2.11,2.414230444,2.53,0.14,0.23,0.41,1.0,0.0,0.0,0.9999999999522515,4.77484490439131e-11,0.0,0.04444444444444449,0.9555555555555555,0.0,0.0,0.0,1.0,0.23578453913043618,0.7642154608695638,0.0,0.4146341463414631,0.5853658536585369,0.0
11,0.0,-10.0,2.83,2.19,2.691722468,2.91,0.11,0.24,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7833753148614608,0.21662468513853914,0.0,0.0,1.0,0.0,0.42384361666666703,0.576156383333333,0.20000000000000023,0.7999999999999998,0.0
12,0.0,-10.0,3.5,2.31,3.536950333,3.57,0.26,0.29,0.41,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44584382871536515,0.5541561712846348,0.0,0.0,1.0,0.1274149413793105,0.8725850586206895,0.0,0.1707317073170727,0.8292682926829272,0.0
13,1.0,0.0,3.6,2.52,3.423199195,3.47,0.51,0.29,0.4,1.0,0.0,0.0,0.9999999999522515,4.77484490439131e-11,0.0,0.0,0.3954659949622165,0.6045340050377834,0.0,0.0,1.0,0.0,0.39034205172413783,0.6096579482758623,0.0,0.6750000000000002,0.3249999999999998
14,1.0,10.0,4.5,2.76,4.590817527,4.56,0.61,0.39,0.44,1.0,0.0,0.0,5.2523291434441316e-11,0.999999999921215,2.6261645720198095e-11,0.0,0.0,1.0,0.0,0.0,1.0,0.2328654538461529,0.767134546153847,0.0,0.13636363636363535,0.8636363636363646,0.0
15,1.0,20.0,3.9,3.13,3.716887431,3.59,0.84,0.43,0.45,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.24433249370277074,0.7556675062972293,0.0,0.08333333333333315,0.9166666666666667,0.0,0.5741568162790696,0.4258431837209304,0.0,0.3111111111111113,0.6888888888888887
16,1.0,0.0,3.56,3.45,3.418419528,3.44,0.7,0.42,0.44,1.0,0.0,0.0,0.9999999999522515,4.77484490439131e-11,0.0,0.0,0.4156171284634759,0.584382871536524,0.0,0.8428571428571431,0.15714285714285692,0.0,0.6629036380952374,0.33709636190476255,0.0,0.7272727272727271,0.27272727272727304
17,1.0,0.0,4.74,3.65,4.481608391,4.77,0.5,0.53,0.49,1.0,0.0,0.0,0.9999999999522515,4.77484490439131e-11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5124686622641507,0.4875313377358493,0.06122448979591704,0.938775510204083,0.0
18,1.0,-10.0,3.14,3.97,3.33758653,3.13,0.48,0.63,0.55,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6272040302267001,0.3727959697732999,1.0,0.0,0.0,0.3136294126984123,0.6863705873015877,0.0,0.0,0.9818181818181815,0.018181818181818608
