,IT_years,BN,inf,inf0,inf1,inf2,inf_spread0,inf_spread1,inf_spread2,IT_years_low,IT_years_medium,IT_years_high,BN_low,BN_medium,BN_high,inf_low,inf_medium,inf_high,survey_low,survey_high,survey_medium,inf0_low,inf0_medium,inf0_high,inf1_low,inf1_medium,inf1_high,inf2_low,inf2_medium,inf2_high
295,9.0,60.0,4.7,4.2,4.77,4.85,0.53,0.52,0.54,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0437,0.46605,0.33340000000000003,0.0,0.0566037735849061,0.9433962264150938,0.13461538461538355,0.8653846153846164,0.0,0.2777777777777768,0.7222222222222233,0.0
296,10.0,30.0,4.0,4.1,4.19,3.89,0.33,0.54,0.55,0.5,0.5,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.037599999999999995,0.47159999999999996,0.3248,0.30303030303030193,0.6969696969696981,0.0,0.3518518518518526,0.6481481481481475,0.0,0.0,0.8000000000000003,0.19999999999999968
297,10.0,30.0,4.1,4.1,4.25,4.23,0.33,0.49,0.54,0.5,0.5,0.0,0.0,2.6261645717220658e-11,0.9999999999737383,0.0,0.0,1.0,0.037399999999999996,0.5096499999999999,0.2828,2.5218884198982474e-12,0.9999999999949563,2.521888419898248e-12,0.3061224489795924,0.6938775510204076,0.0,0.24074074074074217,0.7592592592592577,0.0
298,10.0,10.0,4.5,4.17,4.58,4.62,0.27,0.49,0.54,0.5,0.5,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0,1.0,0.02545,0.50725,0.2426,0.0,0.0,1.0,0.16326530612244905,0.836734693877551,0.0,0.2222222222222224,0.7777777777777776,0.0
299,10.0,0.0,4.7,4.28,4.67,4.76,0.24,0.48,0.54,0.5,0.5,0.0,0.9999999999618012,3.819876288299699e-11,0.0,0.0,0.0,1.0,0.0235,0.54815,0.2145,0.0,0.0,1.0,0.0,0.9374999999999994,0.06250000000000046,0.11111111111111038,0.8888888888888896,0.0
300,10.0,20.0,3.9,4.37,4.08,3.8,0.28,0.44,0.54,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0277,0.5607500000000001,0.2041,1.0,0.0,0.0,0.4090909090909095,0.5909090909090905,0.0,0.0,0.8148148148148147,0.18518518518518534
301,10.0,20.0,3.5,4.32,4.04,3.56,0.33,0.45,0.54,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.1447368421052633,0.8552631578947367,0.03095,0.5498999999999999,0.21100000000000002,1.0,0.0,0.0,1.0,0.0,0.0,0.11111111111111122,0.8888888888888887,0.0
302,10.0,-10.0,3.1,4.12,3.49,3.14,0.39,0.37,0.54,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.4078947368421053,0.5921052631578947,0.03095,0.53875,0.2293,1.0,0.0,0.0,1.0,0.0,0.0,0.07407407407407414,0.9259259259259259,0.0
303,10.0,-20.0,3.6,3.97,3.86,3.82,0.55,0.37,0.54,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0789473684210527,0.9210526315789473,0.0297,0.48015,0.2959,0.6727272727272725,0.3272727272727274,0.0,0.7027027027027019,0.29729729729729804,0.0,0.4074074074074069,0.592592592592593,0.0
304,10.0,10.0,3.6,3.88,3.76,3.66,0.56,0.38,0.54,0.5,0.5,0.0,4.2973606186676346e-11,0.9999999999355396,2.1486803095723348e-11,0.0,0.0789473684210527,0.9210526315789473,0.029249999999999998,0.5366,0.21760000000000002,0.49999999999999967,0.5000000000000004,0.0,0.4210526315789467,0.5789473684210533,0.0,0.1111111111111112,0.8888888888888887,0.0
