"";"year";"country";"gini";"e0"
"145";1995;"ESP";34;81.8466433691776
"146";1996;"ESP";34;82.0099887257221
"147";1997;"ESP";35;82.3676942145552
"148";1998;"ESP";34;82.435893087482
"149";1999;"ESP";33;82.4441725438897
"150";2000;"ESP";32;82.869386081968
"151";2001;"ESP";33;83.1797867087326
"152";2002;"ESP";31;83.2553599937951
"153";2003;"ESP";NA;83.0865088389415
"154";2004;"ESP";31;83.6752082828656
"155";2005;"ESP";32.2;83.6303285312723
"156";2006;"ESP";31.9;84.2273958807675
"157";2007;"ESP";31.9;84.1903440855868
"158";2008;"ESP";32.4;84.3648871308613
"159";2009;"ESP";32.9;84.6683313245463
"160";2010;"ESP";33.5;85.0236276351474
"161";2011;"ESP";34;85.1089876564834
"162";2012;"ESP";34.2;85.0804863423408
"163";2013;"ESP";33.7;85.5208440887727
"164";2014;"ESP";34.7;85.6263251369996
"165";2015;"ESP";34.6;85.3879807948265
"166";2016;"ESP";34.5;85.8179929357546
"167";2017;"ESP";34.1;NA
"168";2018;"ESP";33.2;NA
"169";1995;"EST";NA;74.3599908657888
"170";1996;"EST";NA;75.6023817383744
"171";1997;"EST";NA;75.9264697365049
"172";1998;"EST";NA;75.4503785902606
"173";1999;"EST";NA;76.1124298088974
"174";2000;"EST";36;76.3056804670756
"175";2001;"EST";35;76.5043083972094
"176";2002;"EST";35;77.2089021478084
"177";2003;"EST";NA;77.2894148080262
"178";2004;"EST";37.4;78.0138190355852
"179";2005;"EST";34.1;78.2884704800789
"180";2006;"EST";33.1;78.606789745769
"181";2007;"EST";33.4;78.7974224331511
"182";2008;"EST";30.9;79.4148851556499
"183";2009;"EST";31.4;80.06869407875
"184";2010;"EST";31.3;80.5363687149686
"185";2011;"EST";31.9;81.0007891771811
"186";2012;"EST";32.5;81.1597143141687
"187";2013;"EST";32.9;81.3315413239994
"188";2014;"EST";35.6;81.5062922370217
"189";2015;"EST";34.8;81.8187040667091
"190";2016;"EST";32.7;81.8956075126284
"191";2017;"EST";31.6;82.3197872554041
"192";2018;"EST";30.6;NA
"193";1995;"FIN";NA;80.2168474944733
"194";1996;"FIN";22;80.5462187894619
"195";1997;"FIN";22;80.5220971245739
"196";1998;"FIN";22;80.8402808600654
"197";1999;"FIN";24;81.0386485301668
"198";2000;"FIN";24;81.0302707709332
"199";2001;"FIN";27;81.5434812237044
"200";2002;"FIN";26;81.5397157051609
"201";2003;"FIN";NA;81.8217714446756
"202";2004;"FIN";25.5;82.2738434623761
"203";2005;"FIN";26;82.3027036241417
"204";2006;"FIN";25.9;82.8368187525789
"205";2007;"FIN";26.2;82.869432066538
"206";2008;"FIN";26.3;83.0125673654373
"207";2009;"FIN";25.9;83.1211788321843
"208";2010;"FIN";25.4;83.2513631225972
"209";2011;"FIN";25.8;83.5499905568228
"210";2012;"FIN";25.9;83.4062762378362
