"";"year";"country";"gini";"e0"
"145";1995;"ESP";34;74.5597126416593
"146";1996;"ESP";34;74.6881408862795
"147";1997;"ESP";35;75.3269871248372
"148";1998;"ESP";34;75.4482955075468
"149";1999;"ESP";33;75.4603040306039
"150";2000;"ESP";32;75.9668657220427
"151";2001;"ESP";33;76.2944716946475
"152";2002;"ESP";31;76.4000888945864
"153";2003;"ESP";NA;76.4250628196632
"154";2004;"ESP";31;76.9888293176151
"155";2005;"ESP";32.2;77.0337718394753
"156";2006;"ESP";31.9;77.7071656627655
"157";2007;"ESP";31.9;77.7765697075274
"158";2008;"ESP";32.4;78.2077401340214
"159";2009;"ESP";32.9;78.6022178713483
"160";2010;"ESP";33.5;79.0108765762378
"161";2011;"ESP";34;79.2610928877341
"162";2012;"ESP";34.2;79.3307693685487
"163";2013;"ESP";33.7;79.8969146608329
"164";2014;"ESP";34.7;80.0825732711041
"165";2015;"ESP";34.6;79.8927076606083
"166";2016;"ESP";34.5;80.275198548933
"167";2017;"ESP";34.1;NA
"168";2018;"ESP";33.2;NA
"169";1995;"EST";NA;61.6234697797857
"170";1996;"EST";NA;64.4307832658057
"171";1997;"EST";NA;64.5325918589945
"172";1998;"EST";NA;64.2825755601447
"173";1999;"EST";NA;65.1656662183601
"174";2000;"EST";36;65.614080634665
"175";2001;"EST";35;65.1687962054661
"176";2002;"EST";35;65.5614481672395
"177";2003;"EST";NA;66.4659032804742
"178";2004;"EST";37.4;66.7308407298494
"179";2005;"EST";34.1;67.5741324388451
"180";2006;"EST";33.1;67.6411315148023
"181";2007;"EST";33.4;67.4518611049413
"182";2008;"EST";30.9;68.8944672586252
"183";2009;"EST";31.4;69.988195709574
"184";2010;"EST";31.3;70.8195843655057
"185";2011;"EST";31.9;71.2982099208457
"186";2012;"EST";32.5;71.3286285645754
"187";2013;"EST";32.9;72.6922605697552
"188";2014;"EST";35.6;72.3018505377366
"189";2015;"EST";34.8;73.0685580205896
"190";2016;"EST";32.7;73.178844445224
"191";2017;"EST";31.6;73.6461770855184
"192";2018;"EST";30.6;NA
"193";1995;"FIN";NA;72.8102125987394
"194";1996;"FIN";22;73.0314195196223
"195";1997;"FIN";22;73.4324478587122
"196";1998;"FIN";22;73.5139292668188
"197";1999;"FIN";24;73.7395010741022
"198";2000;"FIN";24;74.1509055663748
"199";2001;"FIN";27;74.5772313646558
"200";2002;"FIN";26;74.8623865716357
"201";2003;"FIN";NA;75.1265811979595
"202";2004;"FIN";25.5;75.3031652072911
"203";2005;"FIN";26;75.5301379008668
"204";2006;"FIN";25.9;75.8184567512842
"205";2007;"FIN";26.2;75.8553471704094
"206";2008;"FIN";26.3;76.3380859143245
"207";2009;"FIN";25.9;76.4780768117074
