,trans,ABG,infexp,infexp0,infexp1,infexp2,infexp0spread,infexp1spread,infexp2spread,trans_low,trans_medium,trans_high,ABG_low,ABG_medium,ABG_high,infexp_low,infexp_medium,infexp_high,infexp0_low,infexp0_medium,infexp0_high,infexp1_low,infexp1_medium,infexp1_high,infexp2_low,infexp2_medium,infexp2_high
561,9.5,0.0,4.89,6.01,6.224361337,4.967362655,0.6728050729999999,0.370883935,0.517804356,1.0,0.0,0.0,0.0,0.8283547878152994,0.1716452121847006,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14940518383742593,0.850594816162574,0.0
562,9.5,0.0,4.71,5.66,4.618763242,5.079020621000001,0.710476366,0.46874900700000005,0.513136491,1.0,0.0,0.0,0.0,0.8283547878152994,0.1716452121847006,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8053611706104374,0.19463882938956262,0.7191471031047774,0.2808528968952227,0.0
563,9.5,0.0,4.33,5.35,5.088641793,5.024005473,0.636448479,0.43355101700000004,0.508820481,1.0,0.0,0.0,0.0,0.8283547878152994,0.1716452121847006,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
564,9.5,0.0,4.24,5.02,5.0477370310000005,4.257609375,0.624513144,0.36836432,0.512558223,1.0,0.0,0.0,0.0,0.8283547878152994,0.1716452121847006,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0343558530715449,0.9656441469284551,0.0
565,9.5,-7.142857142857141,4.16,4.77,4.838163815,5.378462723999999,0.310252585,0.365392559,0.50515427,1.0,0.0,0.0,0.5898689350737183,0.4101310649262818,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
566,9.5,-7.48129675810474,4.2,4.68,5.315073181,4.429957747,0.320437201,0.37116213299999995,0.512837026,1.0,0.0,0.0,0.6237808039696326,0.3762191960303673,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.44840316775411476,0.5515968322458852,0.0
567,9.5,-5.86510263929619,4.15,4.66,4.596163634,4.273419691,0.358924319,0.427962432,0.509320401,1.0,0.0,0.0,0.46183710530632344,0.5381628946936766,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24232229998577964,0.7576777000142204,0.0
568,9.5,-8.0,4.02,4.52,4.4101952330000005,4.532624202,0.367246511,0.425184602,0.5014225729999999,1.0,0.0,0.0,0.6757552051406334,0.32424479485936664,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9177078171800799,0.08229218281992007,0.0,1.0,0.0,0.0
569,9.5,-6.80272108843537,3.95,4.35,4.581083628,4.453693475,0.360319303,0.390588721,0.49783997,1.0,0.0,0.0,0.5557870818725613,0.4442129181274387,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
570,9.5,12.8205128205128,5.49,5.56,3.776265988,7.525268699,1.577880435,0.635814434,0.58796515,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.044363310709280325,0.9556366892907197,0.0,0.0,0.0,1.0,1.0,0.0,0.0
571,9.5,11.415525114155301,5.51,7.62,7.514976409,7.660319685,1.347753687,0.816750587,0.576373851,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
572,9.5,6.62251655629139,5.36,7.67,7.711199567,6.813757487999999,0.349366093,0.813186018,0.580657278,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
573,9.5,0.0,5.24,7.63,6.644838796,7.679184205,0.348640216,0.817259475,0.583612535,1.0,0.0,0.0,0.0,0.8283547878152994,0.1716452121847006,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
574,9.5,8.35654596100279,5.26,7.66,7.427866592999999,7.999914109,0.377080893,0.84379868,0.580838376,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
575,9.5,11.2676056338028,5.34,7.87,8.093354972,8.342595781,0.526526353,0.861432093,0.5745005879999999,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
576,9.5,-10.8303249097473,5.39,8.06,8.050284005,7.8059648820000005,0.525813655,0.851557473,0.57280332,1.0,0.0,0.0,0.9593555963122522,0.040644403687747785,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
577,9.5,-7.692307692307691,4.68,6.76,6.574006259,4.455754497,1.889251174,0.855819958,0.653786493,1.0,0.0,0.0,0.6449242363986637,0.35507576360133625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6570049926069678,0.34299500739303224
578,9.5,-2.94985250737463,4.59,5.78,5.473661229,3.5062223969999997,2.264683201,0.8768618029999999,0.658445264,1.0,0.0,0.0,0.1697271518063616,0.8302728481936384,0.0,0.0,0.0,1.0,0.5254598080095886,0.4745401919904114,0.0,1.0,0.0,0.0,0.0,0.0,1.0
